# VCP -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 408 headwords that LOOK like misspellings but which VCP records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS VCP.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the VCP entry text

# ===== VARIA-LECTIO (2) =====
devatiTi       -> devAtiTi       | deva(vA)tiTi pu0 puruvaMSye akroDanaputre nfpaBede “akro- DanaH Kalu kAliNgIM karagBAM nAmopayeme tasyAmasya jajYe deva(vA)tiTiH” BA0 A0 95 a0 “tataScAkro- Dana
kolUta         -> kOlUta         | ko(kO)lUta pu0 kulUtaSabdArTe vf0 sa0 pAWAntaram . tasya rAjA aR kOlUta tannfpe

# ===== IN-COMPOSITION (1) =====
goja           -> gojA           | goja pu0 “nfpAyAM nfpasaMsargAt pramAdAdgUQajAtakaH . so- 'pi kzatriya eva syAdamizeke ca varjitaH . aBizekaM vinA cAyaM goja ityaBiDIyate . sarvaM ca rAjavatta

# ===== CROSS-REFERENCE (362) =====
Ajana          -> ajana          | {{Lbody=6511}}
AmAtIsAra      -> AmAtisAra      | {{Lbody=7227}}
ArgayaRa       -> Argayana       | {{Lbody=7447}}
BadravalA      -> BadrabalA      | {{Lbody=36161}}
CavI           -> Cavi           | {{Lbody=20288}}
DaraRIja       -> DaraRija       | {{Lbody=27004}}
OmAka          -> Omaka          | {{Lbody=11143}}
PeRikA         -> PenikA         | {{Lbody=35196}}
SAlvahan       -> sAlvahan       | {{Lbody=46054}}
SaktuPalI      -> saktuPalI      | {{Lbody=42860}}
SiNGAna        -> SiNGARa        | {{Lbody=46098}}
aBiDipsu       -> aBidipsu       | {{Lbody=3307}}
aBiSrava       -> aBiSrAva       | {{Lbody=3504}}
ahivuDna       -> ahibuDna       | {{Lbody=6161}}
akzEtrajYa     -> akzetrajYa     | {{Lbody=6321}}
arsas          -> arSas          | {{Lbody=4571}}
arvuda         -> arbuda         | {{Lbody=4546}}
asUrkzaRa      -> (flag)         | {{Lbody=5925}}
bAliKilya      -> vAliKilya      | {{Lbody=35506}}
badarapacana   -> badarapAcana   | {{Lbody=35229}}
cAnUrasUdana   -> cARUrasUdana   | {{Lbody=19576}}
candrasUra     -> candraSUra     | {{Lbody=19336}}
cilamilikA     -> cilamIlikA     | {{Lbody=19936}}
dAsaPalI       -> dASaPalI       | {{Lbody=24837}}
dAsanadinI     -> dASanadinI     | {{Lbody=24835}}
dOhada         -> dohada         | {{Lbody=26304}}
